TransactionID,ReferenceNumber,CustomerID,CustomerName,AccountNumber,IBAN,Amount,Currency,TransactionType,Merchant,MerchantCategoryCode,City,Region,Country,Date,Time,IPAddress,Device,DeviceFingerprint,Browser,OperatingSystem,AccountAgeDays,PreviousTransactions24h,AverageCustomerSpend,FirstTimeMerchant,VelocityThresholdTriggered,VPNRegionalMismatch,ProxyVPNDetected,UnusualAmountDeviation,RiskScore,Status
TXN-000011,REF-202600011,CUST-10011,Saad Alenezi,SA24-92934234,SA35216123410519350101196,256.38,SAR,ATM Withdrawal,Al Othaim,5411,Khobar,Eastern Province,Saudi Arabia,2026-06-13,14:36,10.73.194.246,Alinma Mobile App,fp-644909-581,Chrome,iOS,1503,2,250,No,No,No,No,No,28,Normal
TXN-000012,REF-202600012,CUST-10012,Lama Alshammari,SA20-73066008,SA57295757327945418047256,1325.31,SAR,Transfer,Tamimi Markets,5411,Dhahran,Eastern Province,Saudi Arabia,2026-06-02,15:25,10.240.183.51,Samsung S24,fp-207738-573,Firefox,iOS,1288,3,1200,No,No,No,No,No,11,Normal
TXN-000013,REF-202600013,CUST-10013,Lama Alshammari,SA32-97450925,SA76821494295891331554975,132.25,SAR,Credit,Jarir Bookstore,5942,Madinah,Madinah,Saudi Arabia,2026-07-05,06:08,185.214.104.76,Samsung S24,fp-443377-579,Firefox,Android,907,0,700,No,No,No,Yes,No,34,Normal
TXN-000014,REF-202600014,CUST-10014,Rania Alotaibi,SA18-65995084,SA28502809748126460747857,60.25,SAR,Debit,Jarir Bookstore,5942,Dammam,Eastern Province,Saudi Arabia,2026-05-18,05:57,10.243.4.225,Alinma Mobile App,fp-250690-569,Safari,Linux,2696,0,1800,No,No,No,No,No,7,Normal
TXN-000015,REF-202600015,CUST-10015,Abdullah Almutairi,SA85-34246175,SA96447815715673265215924,15000,SAR,Credit,Amazon.sa,5399,Khobar,Eastern Province,Saudi Arabia,2026-06-28,11:23,185.170.124.125,Emulator,fp-412944-157,Mobile App,Windows 11,126,6,180,No,Yes,No,Yes,Yes,96,Critical
TXN-000016,REF-202600016,CUST-10016,Faisal Aldossari,SA33-22257426,SA33276239830242244777443,45000,SAR,Credit,Unknown Crypto Exchange,6051,Jeddah,Makkah,Saudi Arabia,2026-06-20,23:44,185.145.221.115,Emulator,fp-599197-533,Chrome,Android,175,20,180,Yes,Yes,Yes,No,Yes,97,Critical
TXN-000017,REF-202600017,CUST-10017,Rania Alharbi,SA31-46818825,SA91401674306860339987780,845.59,SAR,Debit,Tamimi Markets,5411,Dhahran,Eastern Province,Saudi Arabia,2026-05-16,01:42,10.179.29.75,Alinma Mobile App,fp-126792-688,Edge,macOS,3364,4,250,No,No,No,No,Yes,21,Normal
TXN-000018,REF-202600018,CUST-10018,Omar Alsubaie,SA36-28496039,SA55331631776632380052729,745.22,SAR,Online Payment,Tamimi Markets,5411,Madinah,Madinah,Saudi Arabia,2026-07-03,17:35,10.207.29.251,Alinma Mobile App,fp-623916-433,Edge,Android,3236,2,450,No,No,No,No,No,32,Normal
TXN-000019,REF-202600019,CUST-10019,Khalid Aldossari,SA66-69173919,SA92916988863203347977982,105.88,SAR,Transfer,Amazon.sa,5399,Khobar,Eastern Province,Saudi Arabia,2026-06-28,04:41,10.137.233.249,Alinma Mobile App,fp-635681-814,Chrome,iOS,1822,2,1800,No,No,No,No,No,22,Normal
TXN-000020,REF-202600020,CUST-10020,Lama Alsubaie,SA36-70179979,SA42253084711890789223592,500000,SAR,Credit,Offshore Digital Goods,5816,Jeddah,Makkah,Saudi Arabia,2026-06-11,13:28,10.103.220.59,Emulator,fp-360332-482,Chrome,Windows 11,31,17,240,No,Yes,No,No,Yes,89,Suspicious
TXN-000021,REF-202600021,CUST-10021,Faisal Alghamdi,SA23-78203715,SA66228222264741566002996,15000,AED,Online Payment,Tamimi Markets,5411,Riyadh,Riyadh,Saudi Arabia,2026-06-18,17:29,185.221.150.36,Known Web Browser,fp-129300-212,Edge,macOS,120,20,2500,Yes,Yes,Yes,Yes,No,99,Critical
TXN-000022,REF-202600022,CUST-10022,Reem Alotaibi,SA42-83924555,SA68138214508725083406504,376.74,SAR,ATM Withdrawal,Alinma ATM,6011,Makkah,Makkah,Saudi Arabia,2026-06-22,15:28,10.120.178.239,Samsung S24,fp-920661-556,Chrome,Linux,2733,4,1200,No,No,No,No,No,8,Normal
TXN-000023,REF-202600023,CUST-10023,Khalid Alghamdi,SA26-55547010,SA18984092947671550985361,120000,SAR,Transfer,Noon,5399,Abha,Asir,Saudi Arabia,2026-05-09,01:17,185.159.190.249,Unknown Desktop,fp-393330-269,Firefox,Windows 11,103,13,240,Yes,Yes,Yes,Yes,Yes,99,Critical
TXN-000024,REF-202600024,CUST-10024,Reem Almutairi,SA25-25373811,SA61718412187525777663397,30.34,SAR,Transfer,Apple Store,5732,Riyadh,Riyadh,Saudi Arabia,2026-05-17,11:50,10.45.176.140,iPhone 14 Pro,fp-695411-691,Firefox,macOS,3399,0,250,No,No,No,No,No,19,Normal
TXN-000025,REF-202600025,CUST-10025,Faisal Almutairi,SA88-59816008,SA30612242142773992958284,280.76,SAR,Debit,Noon,5399,Jeddah,Makkah,Saudi Arabia,2026-05-18,23:22,10.233.225.127,iPhone 15,fp-292203-430,Firefox,iOS,2029,3,1200,No,Yes,No,No,No,17,Normal
TXN-000026,REF-202600026,CUST-10026,Ahmed Alenezi,SA46-23922252,SA40734408519771211017849,45000,SAR,ATM Withdrawal,Unknown Crypto Exchange,6051,Abha,Asir,Saudi Arabia,2026-06-01,00:43,185.11.206.193,Known Web Browser,fp-172786-447,Firefox,iOS,103,20,700,No,Yes,Yes,No,Yes,92,Critical
TXN-000027,REF-202600027,CUST-10027,Sara Alzahrani,SA50-86689831,SA63376691723227976554584,90.57,AED,Credit,Noon,5399,Makkah,Makkah,Saudi Arabia,2026-06-25,09:58,10.42.112.126,Samsung S24,fp-218747-736,Edge,Windows 11,1321,2,700,No,No,No,No,No,16,Normal
TXN-000028,REF-202600028,CUST-10028,Noura Alsubaie,SA23-30017971,SA22119532569123021065067,15000,SAR,Credit,Unknown Crypto Exchange,6051,Riyadh,Riyadh,Saudi Arabia,2026-05-18,06:40,185.72.235.234,Emulator,fp-598823-981,Safari,macOS,118,10,450,Yes,No,No,Yes,Yes,86,Suspicious
TXN-000029,REF-202600029,CUST-10029,Omar Alzahrani,SA58-10138624,SA23561762292877641681313,163.55,SAR,Credit,Al Othaim,5411,Dammam,Eastern Province,Saudi Arabia,2026-06-04,11:01,10.45.232.91,Alinma Mobile App,fp-338947-610,Firefox,Windows 11,3089,2,250,No,No,No,No,No,20,Normal
TXN-000030,REF-202600030,CUST-10030,Khalid Alsubaie,SA19-26791818,SA12914048714803346700654,105.46,SAR,Debit,SASCO,5541,Dammam,Eastern Province,Saudi Arabia,2026-06-11,14:41,10.60.74.184,iPhone 15,fp-679764-874,Safari,iOS,1670,0,700,No,No,No,No,No,24,Normal
TXN-000031,REF-202600031,CUST-10031,Yousef Alsubaie,SA19-98199432,SA78402246448023765038736,28000,SAR,Transfer,Apple Store,5732,Riyadh,Riyadh,Saudi Arabia,2026-05-06,14:15,185.80.157.34,Alinma Mobile App,fp-825517-954,Chrome,Android,14,9,1200,Yes,Yes,Yes,Yes,Yes,99,Critical
TXN-000032,REF-202600032,CUST-10032,Faisal Alzahrani,SA78-59628490,SA78239492807991266243590,1375.2,SAR,Debit,Alinma ATM,6011,Madinah,Madinah,Saudi Arabia,2026-06-01,17:31,10.225.158.91,Alinma Mobile App,fp-143619-850,Safari,Windows 11,720,3,3200,No,No,No,No,No,33,Normal
TXN-000033,REF-202600033,CUST-10033,Abeer Almutairi,SA39-67627271,SA60785329589513299618734,8500,AED,ATM Withdrawal,Offshore Digital Goods,5816,Khobar,Eastern Province,Saudi Arabia,2026-05-08,22:38,185.10.162.82,Unknown Desktop,fp-424002-281,Mobile App,Android,164,8,2500,Yes,Yes,Yes,Yes,No,99,Critical
TXN-000034,REF-202600034,CUST-10034,Ahmed Aldossari,SA19-70040159,SA17260314654476374474131,28000,SAR,Online Payment,Offshore Digital Goods,5816,Jeddah,Makkah,Saudi Arabia,2026-07-10,17:21,10.141.182.231,Rooted Device,fp-225851-996,Chrome,iOS,7,5,2500,Yes,No,No,No,Yes,79,Suspicious
TXN-000035,REF-202600035,CUST-10035,Lama Alghamdi,SA72-70803402,SA81613679496512389000533,64.71,SAR,Online Payment,Alinma ATM,6011,Abha,Asir,Saudi Arabia,2026-05-12,10:07,10.8.184.139,Known Web Browser,fp-247974-892,Firefox,iOS,1840,2,250,No,No,No,No,No,33,Normal
TXN-000036,REF-202600036,CUST-10036,Yousef Aldossari,SA91-88428103,SA65405508959889447186605,8500,AED,Debit,Elite Workstation Pro,5732,Khobar,Eastern Province,Saudi Arabia,2026-05-21,20:42,185.184.119.4,Unknown Desktop,fp-367929-216,Chrome,macOS,139,16,1200,Yes,No,No,Yes,No,81,Suspicious
TXN-000037,REF-202600037,CUST-10037,Huda Alqahtani,SA54-42658776,SA61146134709710561878031,94.47,SAR,Transfer,Noon,5399,Dammam,Eastern Province,Saudi Arabia,2026-05-03,04:02,10.26.91.153,iPhone 14 Pro,fp-259119-360,Safari,Windows 11,2250,1,3200,No,No,No,No,No,31,Normal
TXN-000038,REF-202600038,CUST-10038,Abeer Alghamdi,SA63-45269595,SA34430355055269295611421,75000,USD,Online Payment,Offshore Digital Goods,5816,Jeddah,Makkah,Saudi Arabia,2026-05-08,14:51,185.246.243.181,New Android Device,fp-428557-635,Mobile App,Windows 11,13,15,450,Yes,Yes,Yes,No,Yes,97,Critical
TXN-000039,REF-202600039,CUST-10039,Maha Alqahtani,SA28-80509744,SA37120678241376936488783,37.48,SAR,Credit,Noon,5399,Jeddah,Makkah,Saudi Arabia,2026-05-03,18:20,10.172.107.145,Samsung S24,fp-787503-485,Chrome,macOS,2179,1,700,No,No,No,No,No,35,Normal
TXN-000040,REF-202600040,CUST-10040,Abeer Alghamdi,SA13-20192427,SA24327776420167751805251,134.31,SAR,Debit,Noon,5399,Dammam,Eastern Province,Saudi Arabia,2026-06-08,23:49,10.122.115.86,Samsung S24,fp-734275-204,Safari,macOS,1142,3,1200,No,No,No,No,No,30,Normal
TXN-000041,REF-202600041,CUST-10041,Ahmed Alharbi,SA50-33477473,SA82168796300801940261013,385.59,SAR,Debit,Apple Store,5732,Madinah,Madinah,Saudi Arabia,2026-05-03,09:51,10.240.73.240,Samsung S24,fp-600626-412,Safari,Windows 11,1859,4,1800,No,No,No,No,No,35,Normal
TXN-000042,REF-202600042,CUST-10042,Huda Alshammari,SA83-39299978,SA77387559203334720071232,31.66,SAR,Credit,Amazon.sa,5399,Dhahran,Eastern Province,Saudi Arabia,2026-05-01,15:27,10.69.18.23,iPhone 14 Pro,fp-288689-662,Mobile App,iOS,2261,4,3200,No,No,No,No,No,20,Normal
TXN-000043,REF-202600043,CUST-10043,Abeer Alotaibi,SA21-28441312,SA59703080472431397648850,1528.86,SAR,ATM Withdrawal,Jarir Bookstore,5942,Abha,Asir,Saudi Arabia,2026-05-25,02:40,10.41.226.158,Known Web Browser,fp-571314-474,Mobile App,Linux,1841,0,700,No,No,No,No,No,17,Normal
TXN-000044,REF-202600044,CUST-10044,Abdullah Aldossari,SA66-76623432,SA64477395669890791704180,75000,AED,Online Payment,Unknown Crypto Exchange,6051,Madinah,Madinah,Saudi Arabia,2026-05-29,02:20,185.173.101.151,Samsung S24,fp-251396-582,Firefox,Windows 11,102,16,180,Yes,Yes,No,Yes,Yes,98,Critical
TXN-000045,REF-202600045,CUST-10045,Abeer Alqahtani,SA72-69028966,SA56861746485683715979164,54.1,SAR,Online Payment,Noon,5399,Madinah,Madinah,Saudi Arabia,2026-07-01,23:12,10.13.88.214,Alinma Mobile App,fp-261225-761,Safari,macOS,661,4,3200,No,No,No,No,No,28,Normal
TXN-000046,REF-202600046,CUST-10046,Mohammed Alotaibi,SA56-17572021,SA16751485031068892815200,401.96,AED,Online Payment,Apple Store,5732,Madinah,Madinah,Saudi Arabia,2026-06-10,20:31,10.78.15.94,iPhone 15,fp-496826-947,Safari,iOS,1294,2,700,No,No,No,No,No,23,Normal
TXN-000047,REF-202600047,CUST-10047,Mohammed Alsubaie,SA65-24807186,SA66655917227009698250804,15000,SAR,Online Payment,STC Pay,4829,Makkah,Makkah,Saudi Arabia,2026-06-19,14:09,185.145.217.191,iPhone 14 Pro,fp-793701-687,Edge,Android,136,16,240,Yes,Yes,Yes,No,Yes,99,Critical
TXN-000048,REF-202600048,CUST-10048,Omar Alotaibi,SA65-84254615,SA23512034834995752916131,99.19,SAR,Online Payment,Al Othaim,5411,Jeddah,Makkah,Saudi Arabia,2026-06-17,10:54,185.20.234.206,Alinma Mobile App,fp-776012-646,Mobile App,iOS,2823,0,700,No,No,Yes,No,No,23,Normal
TXN-000049,REF-202600049,CUST-10049,Sara Alenezi,SA43-38531234,SA16220208083062874489187,259.18,SAR,Online Payment,Jarir Bookstore,5942,Jeddah,Makkah,Saudi Arabia,2026-06-28,18:04,10.254.238.203,iPhone 14 Pro,fp-945705-717,Safari,iOS,1295,0,450,No,No,No,No,No,27,Normal
TXN-000050,REF-202600050,CUST-10050,Noura Alharbi,SA88-25150330,SA81170586881087779655556,431.33,SAR,ATM Withdrawal,Tamimi Markets,5411,Dammam,Eastern Province,Saudi Arabia,2026-05-03,21:57,10.5.180.247,iPhone 14 Pro,fp-666215-706,Safari,macOS,2892,2,1800,No,No,No,No,No,12,Normal
TXN-000051,REF-202600051,CUST-10051,Ahmed Alzahrani,SA65-14349143,SA88877922227754080698613,133.58,SAR,Transfer,Apple Store,5732,Abha,Asir,Saudi Arabia,2026-06-19,17:25,185.24.115.180,Known Web Browser,fp-621789-828,Chrome,Android,1600,2,250,No,No,Yes,No,No,16,Normal
TXN-000052,REF-202600052,CUST-10052,Faisal Alghamdi,SA60-83761140,SA18759606399242194074879,3179.44,SAR,Online Payment,Tamimi Markets,5411,Dhahran,Eastern Province,Saudi Arabia,2026-05-13,07:01,10.35.152.239,Samsung S24,fp-377499-400,Firefox,macOS,3095,3,450,No,No,No,No,Yes,24,Normal
TXN-000053,REF-202600053,CUST-10053,Noura Alotaibi,SA55-11932179,SA17225132539846340602769,250000,SAR,Credit,Elite Workstation Pro,5732,Khobar,Eastern Province,Saudi Arabia,2026-05-24,16:11,185.113.217.213,Emulator,fp-612520-653,Chrome,Windows 11,55,8,1200,Yes,No,No,Yes,Yes,89,Suspicious
TXN-000054,REF-202600054,CUST-10054,Mohammed Alsubaie,SA36-52058196,SA60274543037439792024298,45000,SAR,Online Payment,Offshore Digital Goods,5816,Riyadh,Riyadh,Saudi Arabia,2026-06-25,07:03,185.217.214.99,Rooted Device,fp-233092-480,Edge,Android,19,20,240,Yes,Yes,Yes,Yes,Yes,99,Critical
TXN-000055,REF-202600055,CUST-10055,Huda Alshammari,SA70-90592455,SA90630566667247409677621,1542.16,SAR,Transfer,Amazon.sa,5399,Khobar,Eastern Province,Saudi Arabia,2026-05-21,13:58,10.55.164.68,Samsung S24,fp-687841-916,Safari,Windows 11,855,4,700,Yes,No,No,No,No,24,Normal
TXN-000056,REF-202600056,CUST-10056,Noura Alenezi,SA93-91017850,SA17933457482421826331224,4194.59,SAR,Credit,Alinma ATM,6011,Riyadh,Riyadh,Saudi Arabia,2026-06-25,05:23,10.52.167.65,iPhone 14 Pro,fp-458845-550,Edge,macOS,2612,4,1200,No,No,No,No,Yes,30,Normal
TXN-000057,REF-202600057,CUST-10057,Lama Alenezi,SA56-89007649,SA68808392993942030473443,118.97,SAR,ATM Withdrawal,Tamimi Markets,5411,Jeddah,Makkah,Saudi Arabia,2026-05-12,01:20,10.32.177.177,Known Web Browser,fp-446666-425,Firefox,Linux,2708,3,1800,No,No,No,No,No,7,Normal
TXN-000058,REF-202600058,CUST-10058,Maha Alghamdi,SA23-29997727,SA20985675167650404164429,100.63,SAR,Online Payment,Apple Store,5732,Riyadh,Riyadh,Saudi Arabia,2026-05-06,08:36,10.69.167.37,Alinma Mobile App,fp-288932-965,Safari,iOS,2403,4,1800,No,No,No,No,No,9,Normal
TXN-000059,REF-202600059,CUST-10059,Lama Alenezi,SA63-32963525,SA60739299127425641893502,1603.07,USD,Debit,Tamimi Markets,5411,Madinah,Madinah,Saudi Arabia,2026-07-07,16:02,10.155.193.66,iPhone 14 Pro,fp-286499-722,Edge,Linux,458,2,1800,No,No,No,No,No,23,Normal
TXN-000060,REF-202600060,CUST-10060,Lama Alenezi,SA75-38017740,SA26631859814093778739125,38.03,SAR,Online Payment,STC Pay,4829,Dammam,Eastern Province,Saudi Arabia,2026-06-07,04:34,10.158.18.237,iPhone 15,fp-441501-312,Chrome,Windows 11,2945,0,1800,No,No,No,No,No,27,Normal
TXN-000061,REF-202600061,CUST-10061,Ahmed Aldossari,SA52-63445571,SA73170332439807307245773,250000,SAR,Debit,Jarir Bookstore,5942,Dammam,Eastern Province,Saudi Arabia,2026-05-02,19:15,185.202.68.206,New Android Device,fp-550713-261,Edge,iOS,140,13,240,Yes,Yes,No,Yes,Yes,99,Critical
TXN-000062,REF-202600062,CUST-10062,Reem Alenezi,SA62-94390179,SA34566536428141327234048,2728.34,SAR,Transfer,Noon,5399,Dammam,Eastern Province,Saudi Arabia,2026-07-04,12:34,10.125.46.159,iPhone 14 Pro,fp-760021-169,Chrome,macOS,371,4,700,No,No,No,No,Yes,18,Normal
TXN-000063,REF-202600063,CUST-10063,Saad Aldossari,SA54-85868069,SA69963972527434929870005,500000,SAR,Online Payment,Jarir Bookstore,5942,Makkah,Makkah,Saudi Arabia,2026-07-09,12:08,185.147.59.131,Alinma Mobile App,fp-141913-555,Edge,Android,177,11,450,Yes,No,No,Yes,Yes,91,Suspicious
TXN-000064,REF-202600064,CUST-10064,Khalid Alharbi,SA90-46617944,SA45790389169262578052496,120000,SAR,Debit,Amazon.sa,5399,Madinah,Madinah,Saudi Arabia,2026-05-21,16:51,10.97.174.115,New Android Device,fp-210322-330,Firefox,Android,77,19,2500,No,Yes,No,No,Yes,84,Critical
TXN-000065,REF-202600065,CUST-10065,Khalid Alshammari,SA35-46006349,SA97607065561927389484730,36.5,USD,Transfer,Al Othaim,5411,Madinah,Madinah,Saudi Arabia,2026-06-14,19:05,10.239.161.56,Samsung S24,fp-492129-854,Safari,Linux,2647,4,1200,No,No,No,No,No,7,Normal
TXN-000066,REF-202600066,CUST-10066,Mohammed Almutairi,SA25-27429479,SA47329772542814394595849,39.2,SAR,Credit,Jarir Bookstore,5942,Dammam,Eastern Province,Saudi Arabia,2026-07-06,10:48,10.11.170.9,Samsung S24,fp-541600-245,Firefox,Linux,458,4,1200,No,No,No,No,No,5,Normal
TXN-000067,REF-202600067,CUST-10067,Khalid Alsubaie,SA53-60438084,SA43226624629972613373446,625.87,USD,ATM Withdrawal,Amazon.sa,5399,Jeddah,Makkah,Saudi Arabia,2026-07-06,06:48,10.135.177.58,Samsung S24,fp-665547-171,Safari,macOS,1659,1,700,No,Yes,No,No,No,43,Normal
TXN-000068,REF-202600068,CUST-10068,Saad Almutairi,SA31-68695165,SA63365310868225003545164,1689.72,SAR,ATM Withdrawal,Noon,5399,Riyadh,Riyadh,Saudi Arabia,2026-07-01,21:40,10.172.111.188,Alinma Mobile App,fp-130764-184,Safari,Android,1051,2,250,No,No,No,No,Yes,19,Normal
TXN-000069,REF-202600069,CUST-10069,Abeer Alshammari,SA90-54302315,SA62349790902485534028489,28000,SAR,Credit,Al Othaim,5411,Makkah,Makkah,Saudi Arabia,2026-05-07,00:55,185.67.5.217,Unknown Desktop,fp-971435-443,Edge,Android,26,6,700,Yes,Yes,Yes,No,Yes,96,Critical
TXN-000070,REF-202600070,CUST-10070,Yousef Aldossari,SA45-82818814,SA75712993781574694249433,250000,AED,ATM Withdrawal,Elite Workstation Pro,5732,Jeddah,Makkah,Saudi Arabia,2026-06-02,02:16,185.26.128.80,Samsung S24,fp-353913-640,Firefox,iOS,132,13,2500,Yes,Yes,Yes,No,Yes,99,Critical
TXN-000071,REF-202600071,CUST-10071,Maha Alshammari,SA69-34365055,SA26591873821543088323515,417.34,AED,Online Payment,Jarir Bookstore,5942,Dammam,Eastern Province,Saudi Arabia,2026-07-09,19:54,10.83.115.144,iPhone 15,fp-754700-933,Chrome,macOS,1932,0,1800,No,No,No,No,No,25,Normal
TXN-000072,REF-202600072,CUST-10072,Huda Alharbi,SA69-95145911,SA10556777805744712735618,5064.43,SAR,Online Payment,Alinma ATM,6011,Makkah,Makkah,Saudi Arabia,2026-05-13,18:49,10.25.81.76,iPhone 14 Pro,fp-353177-312,Firefox,Linux,1976,0,3200,No,No,No,No,No,18,Normal
TXN-000073,REF-202600073,CUST-10073,Sara Alzahrani,SA49-43625329,SA67413971424260582660058,8500,AED,Debit,Unverified Electronics,5732,Dammam,Eastern Province,Saudi Arabia,2026-06-30,22:16,185.72.39.124,Rooted Device,fp-269499-169,Safari,Windows 11,116,14,1200,Yes,No,Yes,Yes,No,91,Suspicious
TXN-000074,REF-202600074,CUST-10074,Huda Almutairi,SA97-59251958,SA12492742471449723102917,252.78,USD,Debit,Al Othaim,5411,Jeddah,Makkah,Saudi Arabia,2026-06-06,17:30,10.185.76.116,Known Web Browser,fp-359674-550,Safari,Linux,1524,1,700,No,No,No,No,No,27,Normal
TXN-000075,REF-202600075,CUST-10075,Lama Aldossari,SA38-82571713,SA33487612166614933771586,8500,SAR,Credit,Unknown Crypto Exchange,6051,Khobar,Eastern Province,Saudi Arabia,2026-06-26,01:34,10.164.154.44,Rooted Device,fp-256497-855,Chrome,macOS,146,11,2500,Yes,No,No,No,No,73,Suspicious
TXN-000076,REF-202600076,CUST-10076,Reem Alzahrani,SA92-53336158,SA70556426907870291861489,933.57,AED,Debit,Noon,5399,Abha,Asir,Saudi Arabia,2026-05-11,14:30,10.55.127.83,iPhone 14 Pro,fp-506627-162,Chrome,Linux,2097,3,450,No,No,No,No,No,29,Normal
TXN-000077,REF-202600077,CUST-10077,Rania Alqahtani,SA47-39302079,SA98851720368636409011317,75000,USD,Credit,SASCO,5541,Abha,Asir,Saudi Arabia,2026-06-25,16:06,185.9.3.53,New Android Device,fp-988836-692,Mobile App,Windows 11,76,18,450,No,Yes,No,Yes,Yes,95,Critical
TXN-000078,REF-202600078,CUST-10078,Khalid Alqahtani,SA10-37533106,SA47343002707727915643438,66.84,SAR,Debit,Al Othaim,5411,Makkah,Makkah,Saudi Arabia,2026-06-17,06:07,10.144.243.20,iPhone 15,fp-663988-113,Edge,macOS,496,3,250,No,No,No,No,No,28,Normal
TXN-000079,REF-202600079,CUST-10079,Faisal Alsubaie,SA91-71245793,SA16786622632869189162953,75000,SAR,Credit,Jarir Bookstore,5942,Makkah,Makkah,Saudi Arabia,2026-05-07,11:25,185.5.220.232,Emulator,fp-996621-836,Firefox,iOS,68,19,240,No,No,No,Yes,Yes,85,Suspicious
TXN-000080,REF-202600080,CUST-10080,Abdullah Alshammari,SA48-82302098,SA65124551144522701249579,52.6,SAR,Credit,Apple Store,5732,Makkah,Makkah,Saudi Arabia,2026-05-07,06:39,10.211.125.55,iPhone 14 Pro,fp-199824-851,Chrome,iOS,1334,4,1200,No,No,No,No,No,35,Normal
TXN-000081,REF-202600081,CUST-10081,Yousef Aldossari,SA98-77207226,SA69576473313231030699050,438.56,AED,ATM Withdrawal,Jarir Bookstore,5942,Abha,Asir,Saudi Arabia,2026-05-23,17:32,10.95.71.172,iPhone 14 Pro,fp-625006-213,Edge,Linux,1376,3,3200,No,No,No,No,No,30,Normal
TXN-000082,REF-202600082,CUST-10082,Huda Alzahrani,SA62-79364363,SA48793407644841724383319,28000,SAR,Transfer,Unknown Crypto Exchange,6051,Makkah,Makkah,Saudi Arabia,2026-06-17,03:55,185.46.43.184,Known Web Browser,fp-546028-451,Chrome,Linux,133,7,450,No,No,Yes,No,Yes,79,Suspicious
